nodeId,household_id,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,mean_temp_c,max_temp_c,hot_days,mean_humidity_pct,rain_mm,label
BILL_KHH0017_2024_02,KHH0017,2024-02,782.5,691.3,91.2,11.66,97.7,12.82,4.16,42.3,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0018_2024_02,KHH0018,2024-02,1310.8,1142.9,167.8,12.8,163.0,27.4,6.1,79.2,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0019_2024_02,KHH0019,2024-02,694.1,572.7,121.5,17.5,83.1,11.46,7.83,54.2,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0020_2024_02,KHH0020,2024-02,700.3,614.3,86.0,12.28,87.5,5.71,6.52,37.5,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0021_2024_02,KHH0021,2024-02,960.9,885.5,75.4,7.84,121.6,7.91,4.53,33.9,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0022_2024_02,KHH0022,2024-02,917.2,801.5,115.7,12.61,114.7,9.72,7.94,51.2,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0023_2024_02,KHH0023,2024-02,650.5,552.2,98.3,15.12,78.9,13.93,4.44,45.6,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0024_2024_02,KHH0024,2024-02,733.1,677.4,55.7,7.6,92.0,10.73,1.36,26.9,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0025_2024_02,KHH0025,2024-02,860.0,802.7,57.2,6.65,108.2,10.99,1.41,27.6,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0026_2024_02,KHH0026,2024-02,712.6,656.0,56.5,7.94,89.7,11.82,1.0,27.7,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0027_2024_02,KHH0027,2024-02,896.9,818.6,78.3,8.73,111.2,8.9,4.43,35.5,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0028_2024_02,KHH0028,2024-02,611.7,546.7,65.0,10.62,76.4,8.8,3.1,30.0,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0029_2024_02,KHH0029,2024-02,711.2,663.4,47.8,6.73,88.8,0.0,4.92,19.7,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0030_2024_02,KHH0030,2024-02,585.5,485.6,99.9,17.06,70.2,12.98,4.99,45.9,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0031_2024_02,KHH0031,2024-02,753.0,627.9,125.1,16.62,91.2,13.37,7.43,56.4,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0032_2024_02,KHH0032,2024-02,677.0,587.5,89.5,13.22,84.4,9.35,5.39,40.3,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0033_2024_02,KHH0033,2024-02,436.5,373.9,62.6,14.34,54.0,4.92,4.44,27.6,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0034_2024_02,KHH0034,2024-02,786.8,699.9,86.9,11.04,99.7,1.38,8.37,36.3,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0035_2024_02,KHH0035,2024-02,580.4,506.1,74.3,12.81,70.9,17.34,0.58,37.0,21.2,30.5,0,69.5,16.5,MonthlyBill
