date,actual_mw,pred_mw,pred_mw_k1,robust_mw_k1,pred_mw_k2,robust_mw_k2,pred_mw_k3,robust_mw_k3,pred_mw_k4,robust_mw_k4,pred_mw_k5,robust_mw_k5,pred_mw_k6,robust_mw_k6,pred_mw_k7,robust_mw_k7,pred_mw_k8,robust_mw_k8,pred_mw_k9,robust_mw_k9,pred_mw_k10,robust_mw_k10,pred_mw_k11,robust_mw_k11,pred_mw_k12,robust_mw_k12,pred_mw_k13,robust_mw_k13,pred_mw_k14,robust_mw_k14,pred_mw_k15,robust_mw_k15
2020-01-19,72.0,68.164,68.164,81.415,68.449,82.875,68.938,84.12,69.188,84.854,69.424,85.358,69.425,85.635,69.572,86.032,69.741,86.355,69.814,86.576,69.887,86.886,70.059,86.916,70.125,87.001,70.161,87.031,70.272,87.213,70.361,87.551
2020-01-20,72.0,67.73,67.73,80.981,68.002,82.428,68.506,83.688,68.755,84.421,68.995,84.929,68.998,85.208,69.149,85.608,69.317,85.931,69.39,86.151,69.46,86.459,69.64,86.496,69.712,86.588,69.756,86.626,69.867,86.808,69.978,87.169
2020-01-21,72.0,66.953,66.953,80.204,67.198,81.624,67.724,82.906,67.962,83.628,68.202,84.136,68.204,84.414,68.356,84.815,68.52,85.135,68.591,85.352,68.658,85.657,68.847,85.704,68.931,85.807,68.989,85.86,69.095,86.036,69.24,86.43
2020-01-22,72.0,66.962,66.962,80.214,67.208,81.634,67.733,82.915,67.971,83.637,68.21,84.144,68.211,84.421,68.363,84.822,68.527,85.142,68.598,85.359,68.665,85.664,68.854,85.71,68.938,85.814,68.996,85.866,69.101,86.042,69.244,86.435
2020-01-23,69.0,66.921,66.921,80.173,67.165,81.591,67.689,82.871,67.925,83.591,68.161,84.095,68.162,84.371,68.312,84.772,68.476,85.09,68.546,85.307,68.613,85.612,68.801,85.658,68.886,85.762,68.944,85.815,69.048,85.99,69.192,86.382
2020-01-24,72.0,66.951,66.951,80.203,67.194,81.62,67.714,82.896,67.947,83.613,68.18,84.114,68.178,84.388,68.326,84.785,68.489,85.104,68.558,85.32,68.625,85.624,68.812,85.669,68.897,85.773,68.954,85.825,69.055,85.997,69.195,86.386
2020-01-25,75.0,67.143,67.143,80.395,67.392,81.818,67.905,83.087,68.138,83.803,68.368,84.302,68.365,84.574,68.511,84.971,68.675,85.289,68.744,85.505,68.812,85.811,68.995,85.852,69.078,85.954,69.131,86.001,69.232,86.173,69.361,86.552
2020-01-26,75.0,67.582,67.582,80.834,67.847,82.273,68.349,83.531,68.588,84.254,68.82,84.754,68.818,85.028,68.965,85.424,69.131,85.745,69.201,85.963,69.271,86.27,69.45,86.306,69.525,86.401,69.571,86.441,69.675,86.617,69.787,86.977
2020-01-27,72.0,67.834,67.834,81.085,68.108,82.534,68.605,83.787,68.85,84.516,69.085,85.019,69.085,85.295,69.233,85.692,69.4,86.015,69.472,86.234,69.543,86.542,69.72,86.576,69.791,86.667,69.832,86.703,69.94,86.882,70.043,87.234
2020-01-28,75.0,67.683,67.683,80.935,67.953,82.379,68.455,83.637,68.7,84.366,68.937,84.87,68.937,85.147,69.086,85.545,69.253,85.867,69.325,86.086,69.395,86.394,69.574,86.431,69.648,86.523,69.692,86.562,69.8,86.742,69.911,87.101
2020-01-29,72.0,67.626,67.626,80.877,67.894,82.32,68.399,83.581,68.645,84.311,68.883,84.817,68.884,85.094,69.034,85.493,69.201,85.815,69.273,86.035,69.343,86.342,69.523,86.38,69.597,86.473,69.643,86.513,69.752,86.693,69.866,87.057
2020-01-30,69.0,68.278,68.278,81.53,68.57,82.996,69.058,84.24,69.314,84.98,69.554,85.488,69.558,85.768,69.707,86.167,69.877,86.492,69.952,86.714,70.025,87.024,70.198,87.054,70.261,87.137,70.296,87.166,70.41,87.351,70.498,87.688
